Rank,Player,Win,Loss,Total,+/-,Win%
3,RogerFederer,198,103,301,95,65.8%
1,NovakDjokovic,163,81,244,82,66.8%
5,RafaelNadal,137,73,210,64,65.2%
2,AndyMurray,86,75,161,11,53.4%
8,DavidFerrer,52,107,159,-55,32.7%
7,TomasBerdych,47,112,159,-65,29.6%
186,LleytonHewitt,63,72,135,-9,46.7%
205,TommyHaas,40,85,125,-45,32.0%
4,StanislasWawrinka,44,78,122,-34,36.1%
21,FelicianoLopez,34,83,117,-49,29.1%
10,RichardGasquet,28,86,114,-58,24.6%
41,TommyRobredo,22,90,112,-68,19.6%
9,JoWilfriedTsonga,39,72,111,-33,35.1%
74,MikhailYouzhny,29,82,111,-53,26.1%
64,FernandoVerdasco,21,85,106,-64,19.8%
144,RadekStepanek,24,76,100,-52,24.0%
30,PhilippKohlschreiber,22,77,99,-55,22.2%
19,GillesSimon,29,69,98,-40,29.6%
200,JuanMartinDelPotro,34,59,93,-25,36.6%
179,JarkkoNieminen,11,77,88,-66,12.5%
16,GaelMonfils,26,60,86,-34,30.2%
60,NicolasAlmagro,19,66,85,-47,22.4%
42,AndreasSeppi,8,75,83,-67,9.6%
12,MarinCilic,19,58,77,-39,24.7%
199,MardyFish,24,51,75,-27,32.0%
34,IvoKarlovic,20,53,73,-33,27.4%
95,JuanMonaco,19,54,73,-35,26.0%
156,JurgenMelzer,12,60,72,-48,16.7%
6,KeiNishikori,27,43,70,-16,38.6%
39,MarcosBaghdatis,20,50,70,-30,28.6%
61,PaulHenriMathieu,10,58,68,-48,14.7%
14,MilosRaonic,20,43,63,-23,31.7%
11,JohnIsner,17,46,63,-29,27.0%
23,ViktorTroicki,7,55,62,-48,11.3%
69,ErnestsGulbis,16,45,61,-29,26.2%
36,SamQuerrey,12,48,60,-36,20.0%
198,JankoTipsarevic,15,43,58,-28,25.9%
15,KevinAnderson,10,47,57,-37,17.5%
170,FlorianMayer,10,46,56,-36,17.9%
38,GuillermoGarciaLopez,12,41,53,-29,22.6%
26,GrigorDimitrov,10,42,52,-32,19.2%
32,JeremyChardy,9,42,51,-33,17.6%
29,AlexandrDolgopolov,10,37,47,-27,21.3%
31,FabioFognini,7,40,47,-33,14.9%
76,SimoneBolelli,2,41,43,-39,4.7%
20,BernardTomic,7,35,42,-28,16.7%
122,AlbertMontanes,5,36,41,-31,12.2%
45,GillesMuller,7,32,39,-25,17.9%
99,BenjaminBecker,6,31,37,-25,16.2%
33,ThomazBellucci,5,32,37,-27,13.5%
44,NicolasMahut,5,32,37,-27,13.5%
184,VictorHanescu,5,32,37,-27,13.5%
102,SergiyStakhovsky,3,32,35,-29,8.6%
89,MarcelGranollers,5,29,34,-24,14.7%
91,YenHsunLu,7,24,31,-17,22.6%
167,FilippoVolandri,8,22,30,-14,26.7%
119,AlejandroFalla,4,26,30,-22,13.3%
71,DenisIstomin,1,29,30,-28,3.3%
17,RobertoBautistaAgut,4,24,28,-20,14.3%
87,MikhailKukushkin,2,26,28,-24,7.1%
77,IvanDodig,4,23,27,-19,14.8%
18,DavidGoffin,2,25,27,-23,7.4%
48,TeymurazGabashvili,4,22,26,-18,15.4%
100,ThiemoDeBakker,3,23,26,-20,11.5%
81,SantiagoGiraldo,2,24,26,-22,7.7%
46,LeonardoMayer,1,25,26,-24,3.8%
147,RyanHarrison,1,25,26,-24,3.8%
50,LukasRosol,3,22,25,-19,12.0%
22,BenoitPaire,5,18,23,-13,21.7%
57,RobinHaase,4,19,23,-15,17.4%
68,PabloAndujar,4,19,23,-15,17.4%
88,DanielGimenoTraver,3,20,23,-17,13.0%
181,JanHernych,1,22,23,-21,4.3%
43,VasekPospisil,3,19,22,-16,13.6%
166,AndreyGolubev,4,17,21,-13,19.0%
73,DonaldYoung,3,18,21,-15,14.3%
108,MichaelBerrer,3,18,21,-15,14.3%
37,JoaoSousa,1,20,21,-19,4.8%
133,CarlosBerlocq,0,21,21,-21,0.0%
123,EdouardRogerVasselin,2,18,20,-16,10.0%
27,NickKyrgios,7,12,19,-5,36.8%
93,JerzyJanowicz,5,14,19,-9,26.3%
49,AlbertRamos,1,17,18,-16,5.6%
103,LukasLacko,0,17,17,-17,0.0%
86,DudiSela,3,13,16,-10,18.8%
178,RubenRamirezHidalgo,3,13,16,-10,18.8%
24,JackSock,2,14,16,-12,12.5%
134,SteveDarcis,2,14,16,-12,12.5%
202,MarinkoMatosevic,0,16,16,-16,0.0%
120,DanielBrands,5,10,15,-5,33.3%
28,MartinKlizan,3,12,15,-9,20.0%
175,FrankDancevic,2,13,15,-11,13.3%
176,TobiasKamke,2,13,15,-11,13.3%
59,AdrianMannarino,1,14,15,-13,6.7%
142,MischaZverev,4,10,14,-6,28.6%
13,DominicThiem,3,10,13,-7,23.1%
97,DustinBrown,3,9,12,-6,25.0%
47,BornaCoric,2,10,12,-8,16.7%
160,GregaZemlja,1,11,12,-10,8.3%
35,SteveJohnson,0,12,12,-12,0.0%
118,GoSoeda,0,12,12,-12,0.0%
149,BlazKavcic,0,12,12,-12,0.0%
136,IgorSijsling,1,10,11,-9,9.1%
182,SomdevDevvarman,1,10,11,-9,9.1%
54,PaoloLorenzi,0,11,11,-11,0.0%
131,MarcoChiudinelli,0,11,11,-11,0.0%
25,PabloCuevas,3,7,10,-4,30.0%
195,AndreasBeck,1,9,10,-8,10.0%
55,AndreyKuznetsov,1,8,9,-7,11.1%
53,FedericoDelbonis,3,5,8,-2,37.5%
124,StephaneRobert,1,7,8,-6,12.5%
193,JimmyWang,1,7,8,-6,12.5%
56,JiriVesely,0,8,8,-8,0.0%
70,IllyaMarchenko,1,6,7,-5,14.3%
83,RicardasBerankis,1,6,7,-5,14.3%
101,MatthewEbden,1,6,7,-5,14.3%
52,PabloCarrenoBusta,0,7,7,-7,0.0%
58,AlexanderZverev,0,7,7,-7,0.0%
51,AljazBedene,0,6,6,-6,0.0%
62,RajeevRam,0,6,6,-6,0.0%
79,EvgenyDonskoy,0,6,6,-6,0.0%
82,DiegoSebastianSchwartzman,0,6,6,-6,0.0%
113,AndreasHaiderMaurer,0,6,6,-6,0.0%
185,FlavioCipolla,0,6,6,-6,0.0%
66,VictorEstrella,1,4,5,-3,20.0%
115,TatsumaIto,1,4,5,-3,20.0%
157,PeterGojowczyk,1,4,5,-3,20.0%
67,DusanLajovic,0,5,5,-5,0.0%
75,SamuelGroth,0,5,5,-5,0.0%
90,DamirDzumhur,0,5,5,-5,0.0%
125,RubenBemelmans,0,5,5,-5,0.0%
126,MarselIlhan,0,5,5,-5,0.0%
132,AlejandroGonzalez,0,5,5,-5,0.0%
137,JamesDuckworth,0,5,5,-5,0.0%
94,FilipKrajinovic,1,3,4,-2,25.0%
109,HoracioZeballos,1,3,4,-2,25.0%
63,HyeonChung,0,4,4,-4,0.0%
65,DenisKudla,0,4,4,-4,0.0%
98,AustinKrajicek,0,4,4,-4,0.0%
104,MalekJaziri,0,4,4,-4,0.0%
111,TimSmyczek,0,4,4,-4,0.0%
171,GiovanniLapentti,0,4,4,-4,0.0%
172,AleksandrNedovyesov,0,4,4,-4,0.0%
196,JesseHutaGalung,0,4,4,-4,0.0%
203,AlexKuznetsov,0,4,4,-4,0.0%
40,GuidoPella,1,2,3,-1,33.3%
128,KennyDeSchepper,1,2,3,-1,33.3%
72,JohnMillman,0,3,3,-3,0.0%
105,PierreHuguesHerbert,0,3,3,-3,0.0%
107,YukiBhambri,0,3,3,-3,0.0%
114,ThanasiKokkinakis,0,3,3,-3,0.0%
127,MaximoGonzalez,0,3,3,-3,0.0%
151,JurgenZopp,0,3,3,-3,0.0%
159,AdrianUngur,0,3,3,-3,0.0%
163,MariusCopil,0,3,3,-3,0.0%
84,TaroDaniel,0,2,2,-2,0.0%
85,LucasPouille,0,2,2,-2,0.0%
110,RogerioDutraSilva,0,2,2,-2,0.0%
129,FacundoArguello,0,2,2,-2,0.0%
135,BjornFratangelo,0,2,2,-2,0.0%
139,DanielEvans,0,2,2,-2,0.0%
141,AndreyRublev,0,2,2,-2,0.0%
145,VincentMillot,0,2,2,-2,0.0%
152,QuentinHalys,0,2,2,-2,0.0%
154,JamesWard,0,2,2,-2,0.0%
158,HirokiMoriya,0,2,2,-2,0.0%
161,ZeZhang,0,2,2,-2,0.0%
162,AmirWeintraub,0,2,2,-2,0.0%
164,YanBai,0,2,2,-2,0.0%
169,HenriLaaksonen,0,2,2,-2,0.0%
177,JoaoSouza,0,2,2,-2,0.0%
187,PhilipBester,0,2,2,-2,0.0%
188,MichalPrzysiezny,0,2,2,-2,0.0%
189,MatthiasBachinger,0,2,2,-2,0.0%
206,AntonioVeic,0,2,2,-2,0.0%
207,RuiMachado,0,2,2,-2,0.0%
173,ThiagoMonteiro,1,0,1,1,100.0%
78,TaylorHarryFritz,0,1,1,-1,0.0%
80,KyleEdmund,0,1,1,-1,0.0%
92,FacundoBagnis,0,1,1,-1,0.0%
96,YuichiSugita,0,1,1,-1,0.0%
106,JanLennardStruff,0,1,1,-1,0.0%
112,NikolozBasilashvili,0,1,1,-1,0.0%
116,YoshihitoNishioka,0,1,1,-1,0.0%
117,ThomasFabbiano,0,1,1,-1,0.0%
121,MirzaBasic,0,1,1,-1,0.0%
130,RaduAlbot,0,1,1,-1,0.0%
138,EliasYmer,0,1,1,-1,0.0%
140,BlazRola,0,1,1,-1,0.0%
143,FrancoSkugor,0,1,1,-1,0.0%
146,RenzoOlivo,0,1,1,-1,0.0%
148,AndreaArnaboldi,0,1,1,-1,0.0%
150,DiWu,0,1,1,-1,0.0%
153,AlexanderKudryavtsev,0,1,1,-1,0.0%
155,MatteoDonati,0,1,1,-1,0.0%
